id,region,kommun_namn,age_group,population,num_minst_1_dos,num_fully_vaccinated,proportion_of_minst_1_dos,proportion_of_fully_vaccinated
2576,Norrbotten,Piteå,30-39,5182,4433,4217,0.855461212,0.8137784640000001
2577,Norrbotten,Piteå,40-49,5001,4533,4401,0.9064187159999999,0.880023995
2578,Norrbotten,Piteå,50-59,5497,5174,5044,0.941240677,0.917591413
2579,Norrbotten,Piteå,60-69,5196,4966,4823,0.955735181,0.9282140109999999
2580,Norrbotten,Piteå,70-79,5210,5053,4878,0.969865643,0.936276392
2581,Norrbotten,Piteå,80-89,2275,2194,2106,0.964395604,0.9257142859999999
2582,Norrbotten,Piteå,>=90,477,447,415,0.937106918,0.8700209640000001
2585,Norrbotten,Boden,30-39,3336,2822,2657,0.8459232609999999,0.79646283
2586,Norrbotten,Boden,40-49,3172,2845,2773,0.896910467,0.874211854
2587,Norrbotten,Boden,50-59,3591,3300,3213,0.918964077,0.894736842
2588,Norrbotten,Boden,60-69,3664,3475,3400,0.948417031,0.9279475979999999
2589,Norrbotten,Boden,70-79,3537,3392,3306,0.9590048059999999,0.9346904159999999
2590,Norrbotten,Boden,80-89,1634,1563,1446,0.956548348,0.88494492
2591,Norrbotten,Boden,>=90,400,378,340,0.945,0.85
2594,Norrbotten,Haparanda,30-39,902,661,621,0.732815965,0.688470067
2595,Norrbotten,Haparanda,40-49,975,765,736,0.784615385,0.754871795
2596,Norrbotten,Haparanda,50-59,1195,1041,1009,0.871129707,0.844351464
2597,Norrbotten,Haparanda,60-69,1509,1364,1332,0.9039098740000001,0.882703777
2598,Norrbotten,Haparanda,70-79,1469,1332,1296,0.906739278,0.882232811
2599,Norrbotten,Haparanda,80-89,668,631,592,0.9446107779999999,0.886227545
2600,Norrbotten,Haparanda,>=90,110,98,92,0.8909090909999999,0.836363636
2603,Norrbotten,Kiruna,30-39,3069,2403,2268,0.782991202,0.739002933
2604,Norrbotten,Kiruna,40-49,2429,2109,2035,0.8682585429999999,0.837793331
2605,Norrbotten,Kiruna,50-59,3134,2911,2852,0.928844927,0.910019145
2606,Norrbotten,Kiruna,60-69,2768,2596,2537,0.937861272,0.916546243
2607,Norrbotten,Kiruna,70-79,2287,2160,2074,0.9444687359999999,0.9068648890000001
2608,Norrbotten,Kiruna,80-89,1280,1233,1157,0.96328125,0.90390625
2609,Norrbotten,Kiruna,>=90,247,222,192,0.898785425,0.777327935
